"Môn học","Lớp","Chủ đề","Thể loại","Câu hỏi","Câu trả lời","Hướng dẫn giải","","","","","","",""
"Toán","6","Đại số","Lý thuyết","Tập hợp là gì ?","Tập hợp là một khái niệm cơ bản của toán học (không định nghĩa).
Tập hợp được kí hiệu là các chữ cái in hoa: A, B, C, D, …
Ví dụ: 
Tập hợp các học sinh trong tổ 4 của 6A là: Thắm, Trọng, Xuân, Cương, Bảo, Dũng, Khôi, Huế, Linh.","","","","","","",""," "
"Toán","6","Đại số","Lý thuyết","Phép cộng số tự nhiên là gì ?","Phép cộng hai số tự nhiên a và b cho ta một số tự nhiên gọi là tổng của chúng, kí hiệu là a + b.
Tổng (a + b) + c hay a + (b + c) gọi là tổng của ba số a, b, c và viết gọn là: a + b + c
Ví dụ: 
3+4 = 7
1 + 2 + 3 = 6","","","","","","","",""
"Toán","6","Đại số","Lý thuyết","Phép trừ số tự nhiên là gì ?","Với hai số tự nhiên a, b đã cho, nếu có số tự nhiên c sao cho a + b = c thì ta có phép trừ a – b = c. Trong đó, a là số bị trừ, b là số trừ và c là hiệu.
Ví dụ: 
12- 10 = 3","","","","","","","",""
"Toán","6","Đại số","Lý thuyết","Các tính chất của phép cộng","Giáo hoán: a + b = b + a.
Kết hợp: (a + b) + c = a + (b + c).
Chú ý: a + 0  = 0 + a = a.
Ví dụ: 
12 + 10 = 10 + 12
7 + 12 + 13 = 12 + (7 + 13) = 12 + 20 = 3
6 + 0 = 6","","","","","","","",""
"Toán","6","Đại số","Lý thuyết","Phép nhân số tự nhiên là gì ?","Phép nhân hai số tự nhiên a và b cho ta một số tự nhiên c được gọi là tích. 
Kí hiệu: a.b = c (a và b là hai thừa số, c là tích)
Nếu các thừa số đều bằng chữ, hoặc chỉ có một thừa số bằng số thì ta có thể không nhân giữa các thừa số
Số tự nhiên nhân với 0 đều bằng 0
Ví dụ: 3 . 4 = 12
5.m = 5m
x.y = xy
7.0 = 0","","","","","","","",""
"Toán","6","Đại số","Lý thuyết","Các tính chất của phép nhân","Giao hoán: a.b = b.a
Kết hợp: (a.b).c = a.(b.c)
Phân phối của phép nhân với phép cộng: a.(b + c) = a.b + a.c
Ví dụ: 
3.4 = 4.3
5.(6.7) = (5.6).7
6.(7+8) = 6.7 + 6.8 = 90","","","","","","","",""
"Toán","6","Đại số","Lý thuyết","Phép chia số tự nhiên là gì ?","Với hai số tự nhiên a và b đã cho (b khác 0), ta luôn tìm được đúng hai số tự nhiên q và r sao cho a = b.q + r, trong đó 0 ≤ r ≤ b
+ Nếu r = 0 thì ta có phép chia hết a:b = q; a là số bị chia, b là số chia, q là thương.
+ Nếu r ≠ 0 thì ta có phép chia có dư a:b = q (dư r); a là số bị chia, b là số chia, q là thương, r là số dư.","","","","","","","",""
"Toán","6","Đại số","Lý thuyết","Lũy thừa với số mũ tự nhiên là gì ?","Lũy thừa bậc n của số tự nhiên a là tích của n thừa số bằng nhau, mỗi thừa số bằng a.
an = a.a.a.a…. ( n ∈ N*)
Ta có:
+ a1 = a
+ a2 cũng được gọi là a bình phương (hay bình phương của a)
+ a3 cũng được gọi là a lập phương (hay lập phương của a).","","","","","","","",""
"Toán","6","Đại số","Lý thuyết","Cách nhân hai lũy thừa cùng cơ số"," Nhân hai lũy thừa cùng cơ số, ta giữ nguyên cơ số và công các số mũ am.an = am+n.","","","","","","","",""
"Toán","6","Đại số","Lý thuyết","Cách chia hai lũy thừa cùng cơ số","Chia hai lũy thừa cùng cơ số, ta giữ nguyên cơ số và trừ các số mũ: am:an = am-n","","","","","","","",""
"Toán","6","Đại số","Lý thuyết","Thứ tự thực hiện các phép tính","Đối với các biểu thức không có dấu ngoặc: 
- Nếu chỉ có phép cộng và phép trừ (hoặc chỉ có phép nhân và phép chia) thì thực hiện các phép tính từ trái qua phải
- Nếu có các phép tính cộng, trừ, nhân, chia, nâng lên lũy thừa thì ta thực hiện phép nâng lên lũy thừa trước, rồi đến nhân và chia, cuối cùng đến cộng và trừ
Đối với các biểu thức có dấu ngoặc: 
- Nếu chỉ có một dấu ngoặc thì ta thực hiện phép tính trong dấu ngoặc trước.
- Nếu có các dấu ngoặc tròn (), dấu ngoặc vuông [], dấu ngoặc nhọn {} thì ta thực hiện các phép tính trong dấu ngoặc tròn trước, rồi thực hiện các phép tính trong dấu ngoặc vuông, cuối cùng thực hiện các phép tính trong dấu ngoặc nhọn
Ví dụ:
23 + 47 – 52 = 70 – 52 = 18
22.3 + 3.7 – 18:9= 4.3 + 21 – 2 =12 + 21 – 2 = 33 – 2 = 31
(30 + 80).2 + 20:4 = 110.2 + 5= 220 + 5= 225","","","","","","","",""
"Toán","6","Đại số","Lý thuyết","Chia hết là gì ?","Cho hai số tự nhiên a và b (b ≠ 0). Nếu có số tự nhiên k sao cho a = kb thì ta nói a chia hết cho b","","","","","","","",""
"Toán","6","Đại số","Lý thuyết","Ước số là gì ?","Nếu a chia hết cho b, ta nói b là ước của a 
Ví dụ: 
20 chia hết cho 5, 5 là ước của 20 ","","","","","","","",""
"Toán","6","Đại số","Lý thuyết","Bội số là gì ?","Nếu a chia hết cho b, ta nói  a là bội của b.
Ví dụ: 
14 chia hết cho 3,  14 là bội của 3.","","","","","","","",""
